Iteration,wins,loses,draws
50,36,3,11
100,30,0,20
150,32,8,10
200,22,8,20
250,15,13,22
300,19,12,19
350,15,9,26
400,22,11,17
450,20,9,21
500,24,6,20
550,22,5,23
600,20,6,24
650,22,1,27
700,19,6,25
750,17,5,28
800,20,3,27
850,24,3,23
900,21,5,24
950,21,5,24
1000,26,3,21
1050,23,2,25
1100,26,1,23
1150,23,2,25
1200,27,2,21
1250,22,7,21
1300,25,3,22
1350,23,0,27
1400,24,2,24
1450,19,0,31
1500,31,0,19
1550,27,4,19
1600,23,4,23
1650,27,2,21
1700,20,4,26
1750,20,1,29
1800,19,0,31
1850,23,1,26
1900,22,2,26
1950,20,2,28
2000,27,0,23
2050,29,1,20
2100,21,3,26
2150,29,2,19
2200,22,2,26
2250,28,3,19
2300,23,1,26
2350,28,2,20
2400,30,2,18
2450,19,2,29
2500,19,2,29
2550,29,1,20
2600,24,3,23
2650,23,0,27
2700,27,2,21
2750,19,2,29
2800,26,3,21
2850,27,2,21
2900,27,1,22
2950,17,3,30
3000,22,2,26
3050,26,0,24
3100,26,0,24
3150,22,0,28
3200,33,2,15
3250,22,1,27
3300,19,3,28
3350,25,1,24
3400,19,0,31
3450,24,2,24
3500,27,0,23
3550,21,0,29
3600,22,2,26
3650,21,0,29
3700,27,1,22
3750,18,1,31
3800,22,2,26
3850,26,0,24
3900,21,2,27
3950,21,0,29
4000,22,1,27
4050,25,1,24
4100,31,0,19
4150,20,2,28
4200,26,0,24
4250,26,0,24
4300,24,3,23
4350,21,1,28
4400,26,2,22
4450,23,0,27
4500,24,0,26
4550,25,0,25
4600,23,2,25
4650,26,0,24
4700,27,1,22
4750,22,2,26
4800,29,0,21
4850,19,1,30
4900,24,1,25
4950,23,0,27
5000,26,2,22
5050,23,0,27
5100,20,0,30
5150,21,0,29
5200,23,0,27
5250,25,5,20
5300,26,1,23
5350,16,2,32
5400,19,2,29
5450,27,2,21
5500,26,0,24
5550,23,0,27
5600,24,0,26
5650,26,1,23
5700,30,1,19
5750,24,0,26
5800,20,1,29
5850,28,3,19
5900,28,0,22
5950,23,1,26
6000,31,2,17
6050,26,0,24
6100,26,1,23
6150,28,1,21
6200,18,0,32
6250,28,0,22
6300,20,2,28
6350,18,0,32
6400,26,1,23
6450,24,0,26
6500,19,0,31
6550,17,1,32
6600,24,0,26
6650,27,1,22
6700,26,1,23
6750,25,0,25
6800,24,2,24
6850,30,0,20
6900,31,1,18
6950,18,0,32
7000,23,0,27
7050,25,0,25
7100,25,0,25
7150,27,0,23
7200,22,2,26
7250,23,2,25
7300,19,2,29
7350,19,0,31
7400,25,0,25
7450,24,1,25
7500,23,1,26
7550,16,0,34
7600,21,0,29
7650,22,2,26
7700,23,0,27
7750,20,0,30
7800,25,0,25
7850,26,1,23
7900,24,0,26
7950,26,1,23
8000,21,1,28
8050,20,1,29
8100,14,1,35
8150,26,0,24
8200,27,2,21
8250,23,0,27
8300,21,1,28
8350,27,1,22
8400,23,0,27
8450,15,0,35
8500,19,0,31
8550,22,1,27
8600,20,1,29
8650,15,2,33
8700,25,1,24
8750,25,2,23
8800,22,2,26
8850,26,0,24
8900,22,2,26
8950,19,1,30
9000,21,0,29
9050,19,0,31
9100,26,0,24
9150,19,0,31
9200,19,0,31
9250,22,1,27
9300,25,0,25
9350,18,0,32
9400,21,0,29
9450,26,1,23
9500,18,0,32
9550,23,0,27
9600,25,0,25
9650,27,0,23
9700,22,0,28
9750,23,0,27
9800,22,1,27
9850,21,1,28
9900,23,1,26
9950,25,0,25
10000,21,0,29
10050,24,0,26
10100,26,0,24
10150,21,0,29
10200,20,1,29
10250,18,1,31
10300,20,1,29
10350,15,0,35
10400,25,0,25
10450,22,1,27
10500,23,1,26
10550,27,1,22
10600,17,0,33
10650,27,1,22
10700,27,0,23
10750,15,2,33
10800,23,0,27
10850,17,1,32
10900,21,0,29
10950,24,0,26
11000,25,0,25
11050,22,0,28
11100,23,0,27
11150,25,0,25
11200,24,0,26
11250,16,1,33
11300,21,0,29
